date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:37	127/127	---MCZ	200	added ('OK')	text/plain	date:Sat,%2014%20Jul%202018%2008:02:06%20GMT	https://pixel-template.blogspot.com/robots.txt		(from )
19:30:39	219802/219802	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Jul%202018%2008:02:06%20GMT	https://pixel-template.blogspot.com/	F:/Template/Landing%20Page/Blog/pixel-template.blogspot.com/index.html	(from )
19:30:40	41572/41572	---MC-	200	added ('OK')	text/css	date:Fri,%2013%20Jul%202018%2005:02:53%20GMT	https://www.blogger.com/static/v1/widgets/2437439463-css_bundle_v2.css	F:/Template/Landing%20Page/Blog/www.blogger.com/static/v1/widgets/2437439463-css_bundle_v2.css	(from https://pixel-template.blogspot.com/)
19:30:41	3638/3638	---MCZ	200	added ('OK')	image/x-icon	date:Sat,%2014%20Jul%202018%2008:02:06%20GMT	https://pixel-template.blogspot.com/favicon.ico	F:/Template/Landing%20Page/Blog/pixel-template.blogspot.com/favicon.ico	(from https://pixel-template.blogspot.com/)
19:30:42	135444/135444	---M-Z	200	added ('OK')	application/atom+xml	date:Sat,%2014%20Jul%202018%2008:02:06%20GMT	https://pixel-template.blogspot.com/feeds/posts/default	F:/Template/Landing%20Page/Blog/pixel-template.blogspot.com/feeds/posts/default	(from https://pixel-template.blogspot.com/)
19:30:43	113857/113857	---M-Z	200	added ('OK')	application/rss+xml	date:Sat,%2014%20Jul%202018%2008:02:06%20GMT	https://pixel-template.blogspot.com/feeds/posts/default?alt=rss	F:/Template/Landing%20Page/Blog/pixel-template.blogspot.com/feeds/posts/default9522	(from https://pixel-template.blogspot.com/)
19:30:44	127343/127343	---M-Z	200	added ('OK')	text/css	etag:%221519106275%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta.2/css/bootstrap.min.css	F:/Template/Landing%20Page/Blog/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta.2/css/bootstrap.min.css	(from https://pixel-template.blogspot.com/)
19:30:45	11204/11204	---M--	200	added ('OK')	image/png	etag:%22v3d1%22	http://1.bp.blogspot.com/-Lms0Sd1K2F0/WgSM4R0ZaJI/AAAAAAAAA9A/Vz5vMgsuUtosr96JpGJC1cUm1E1g1KG7wCK4BGAYYCw/s0/sayagata-400px.png	F:/Template/Landing%20Page/Blog/1.bp.blogspot.com/-Lms0Sd1K2F0/WgSM4R0ZaJI/AAAAAAAAA9A/Vz5vMgsuUtosr96JpGJC1cUm1E1g1KG7wCK4BGAYYCw/s0/sayagata-400px.png	(from https://pixel-template.blogspot.com/)
19:30:47	184726/184726	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Jul%202018%2014:00:46%20GMT	https://pixel-template.blogspot.com/owl.video.play.png	F:/Template/Landing%20Page/Blog/pixel-template.blogspot.com/owl.video.play.6.delayed	(from https://pixel-template.blogspot.com/)
19:30:48	4367/4367	---M--	200	added ('OK')	image/png	etag:%22v417%22	https://4.bp.blogspot.com/-w_OcVSzp_cM/WgxYE78QWHI/AAAAAAAABBY/GmK-TwZj1bM7KPAIaCLj-l4Tr7WhJOxkgCLcBGAs/s1600/clg.png	F:/Template/Landing%20Page/Blog/4.bp.blogspot.com/-w_OcVSzp_cM/WgxYE78QWHI/AAAAAAAABBY/GmK-TwZj1bM7KPAIaCLj-l4Tr7WhJOxkgCLcBGAs/s1600/clg.png	(from https://pixel-template.blogspot.com/)
